id,file_name,#instances,#categories,shooting angle,complete or partial ,color,category_name,segmentation,area,bbox,iscrowd
1,000001.jpg,2,2,side,partial,red,scratch,"[[233.35, 46.65, 217.25, 58.24, 210.82, 65.97, 204.38, 78.2, 197.3, 93.0, 192.15, 104.59, 187.0, 112.96, 180.56, 123.91, 174.12, 135.49, 169.61, 144.51, 167.04, 154.16, 167.04, 165.11, 175.41, 170.9, 185.71, 171.55, 196.01, 167.68, 205.02, 161.24, 214.03, 154.81, 224.33, 148.37, 233.99, 141.93, 244.29, 134.21, 256.52, 128.41, 267.47, 125.19, 277.77, 122.62, 288.71, 119.4, 298.37, 116.82, 310.6, 113.61, 322.83, 109.1, 333.13, 105.88, 344.08, 103.95, 355.02, 101.37, 366.61, 97.51, 369.83, 87.21, 364.68, 78.84, 352.45, 69.18, 341.5, 61.46, 331.2, 55.02, 314.46, 48.58, 302.23, 44.72, 291.93, 42.15, 276.48, 40.21, 266.18, 40.21, 254.59, 40.21]]",13584.0,"[167.04, 40.21, 202.79, 131.34]",0
2,000002.jpg,1,1,side,partial,white,dent,"[[348.93, 137.7, 336.68, 141.53, 323.67, 146.12, 312.19, 151.48, 299.95, 158.37, 289.23, 164.49, 279.29, 171.38, 270.1, 179.03, 260.92, 187.45, 251.73, 195.1, 243.32, 205.05, 235.66, 214.23, 228.01, 223.42, 217.3, 237.96, 209.64, 247.14, 202.76, 257.09, 196.63, 267.04, 190.51, 278.52, 184.39, 288.47, 178.27, 298.42, 171.38, 310.66, 166.79, 322.91, 163.72, 335.15, 162.96, 346.63, 162.96, 359.64, 160.66, 371.12, 160.66, 384.9, 160.66, 397.91, 160.66, 410.92, 162.19, 422.4, 166.02, 439.23, 168.32, 450.71, 171.38, 462.96, 175.97, 473.67, 181.33, 484.39, 188.98, 494.34, 195.87, 504.29, 202.76, 514.23, 208.88, 524.18, 215.77, 534.13, 224.95, 542.55, 236.43, 548.67, 245.61, 557.09, 249.44, 569.34, 253.27, 580.82, 259.39, 590.77, 265.51, 600.71, 277.76, 606.07, 290.77, 607.6, 302.24, 609.9, 313.72, 611.43, 325.2, 613.72, 336.68, 616.79, 348.16, 620.61, 358.88, 625.2, 371.89, 629.03, 383.37, 633.62, 394.85, 636.68, 407.86, 640.51, 419.34, 643.57, 432.35, 645.87, 445.36, 648.93, 456.84, 651.99, 469.08, 655.05, 481.33, 658.11, 492.81, 659.64, 504.29, 660.41, 518.06, 660.41, 531.07, 660.41, 542.55, 661.17, 554.03, 661.94, 568.57, 663.47, 583.88, 663.47, 596.89, 661.94, 612.96, 658.11, 625.2, 655.05, 637.45, 653.52, 651.22, 651.99, 662.7, 650.46, 674.95, 648.16, 686.43, 645.87, 697.91, 645.1, 709.39, 644.34, 721.63, 642.04, 735.41, 635.92, 747.65, 629.8, 757.6, 622.91, 767.55, 616.79, 777.5, 609.9, 788.21, 599.95, 794.34, 590.0, 800.46, 579.29, 805.82, 567.81, 811.94, 556.33, 818.06, 545.61, 824.95, 534.9, 832.6, 524.18, 837.96, 513.47, 840.26, 500.46, 842.55, 487.45, 844.85, 473.67, 844.85, 460.66, 844.85, 446.89, 841.79, 431.58, 840.26, 420.1, 839.49, 406.33, 837.19, 394.85, 835.66, 383.37, 834.13, 371.12, 831.07, 358.88, 826.48, 346.63, 823.42, 335.15, 818.83, 321.38, 813.47, 306.84, 808.88, 296.12, 803.52, 284.64, 796.63, 273.93, 787.45, 264.74, 779.03, 256.33, 771.38, 245.61, 761.43, 233.37, 750.71, 224.18, 738.47, 213.47, 730.82, 203.52, 723.16, 194.34, 712.45, 185.92, 699.44, 178.27, 689.49, 169.85, 678.78, 163.72, 658.88, 150.71, 635.92, 146.12, 619.08, 141.53, 597.65, 132.35, 585.41, 127.76, 568.57, 123.93, 556.33, 121.63, 541.02, 118.57, 528.01, 116.28, 514.23, 113.98, 498.16, 113.21, 485.92, 112.45, 469.85, 112.45, 452.24, 112.45, 436.17, 112.45, 420.1, 113.21, 407.86, 117.04, 392.55, 123.16, 380.31, 125.46, 369.59, 131.58]]",298742.0,"[160.66, 112.45, 684.19, 551.02]",0
3,000003.jpg,1,1,side,partial,white,dent,"[[625.2, 252.5, 614.49, 257.86, 602.24, 265.51, 590.0, 273.93, 576.99, 280.05, 566.28, 287.7, 557.09, 296.12, 544.85, 307.6, 536.43, 317.55, 528.78, 328.27, 521.89, 338.98, 515.77, 350.46, 505.82, 362.7, 498.16, 374.18, 491.28, 384.13, 486.68, 394.85, 483.62, 406.33, 481.33, 418.57, 479.8, 430.05, 479.03, 441.53, 477.5, 454.54, 476.73, 466.79, 476.73, 479.8, 476.73, 492.04, 477.5, 503.52, 480.56, 517.3, 486.68, 528.78, 490.51, 541.02, 495.87, 551.73, 502.76, 563.21, 510.41, 572.4, 521.12, 576.99, 534.9, 578.52, 547.91, 578.52, 559.39, 577.76, 573.16, 577.76, 586.94, 577.76, 599.95, 580.05, 612.96, 582.35, 624.44, 583.88, 635.92, 584.64, 650.46, 586.17, 661.94, 587.7, 674.18, 587.7, 686.43, 587.7, 698.67, 587.7, 710.92, 587.7, 723.16, 587.7, 735.41, 587.7, 747.65, 586.17, 759.13, 585.41, 771.38, 583.88, 782.86, 580.82, 798.16, 578.52, 813.47, 577.76, 825.71, 576.99, 837.19, 573.93, 846.38, 565.51, 851.73, 554.03, 856.33, 542.55, 860.15, 528.78, 863.21, 517.3, 867.04, 504.29, 868.57, 492.04, 870.87, 479.03, 871.63, 467.55, 873.16, 455.31, 873.93, 442.3, 873.93, 430.05, 873.93, 417.04, 872.4, 403.27, 870.1, 391.02, 865.51, 378.01, 861.68, 365.77, 857.86, 354.29, 851.73, 338.98, 845.61, 328.27, 838.72, 316.02, 830.31, 306.07, 822.65, 296.89, 813.47, 288.47, 804.29, 280.05, 794.34, 273.16, 783.62, 265.51, 772.14, 259.39, 761.43, 254.03, 746.89, 248.67, 735.41, 244.85, 722.4, 242.55, 710.92, 241.79, 697.14, 241.79, 680.31, 241.02, 667.3, 241.02, 654.29, 241.79, 642.04, 246.38]]",114126.0,"[476.73, 241.02, 397.2, 346.68]",0
4,000004.jpg,1,1,side,partial,gray,dent,"[[410.15, 0.71, 405.56, 11.43, 403.27, 22.91, 400.2, 35.92, 396.38, 47.4, 393.32, 58.88, 391.02, 70.36, 388.72, 82.6, 385.66, 95.61, 381.07, 106.33, 376.48, 119.34, 371.12, 130.82, 367.3, 143.06, 365.0, 155.31, 361.94, 166.79, 359.64, 178.27, 357.35, 191.28, 355.05, 204.29, 354.29, 215.77, 354.29, 228.01, 354.29, 242.55, 355.05, 254.03, 357.35, 268.57, 358.88, 283.11, 359.64, 294.59, 361.17, 307.6, 364.23, 323.67, 365.77, 336.68, 368.83, 348.93, 372.65, 361.17, 378.78, 374.18, 384.13, 385.66, 391.02, 397.91, 396.38, 408.62, 404.03, 417.81, 416.28, 432.35, 422.4, 442.3, 430.05, 454.54, 438.47, 462.96, 446.89, 471.38, 458.37, 479.8, 469.08, 487.45, 479.8, 492.81, 489.74, 498.93, 499.69, 505.05, 511.17, 510.41, 522.65, 515.77, 535.66, 519.59, 548.67, 521.12, 560.15, 520.36, 572.4, 517.3, 585.41, 511.94, 598.42, 506.58, 609.9, 504.29, 622.91, 501.99, 634.39, 499.69, 646.63, 499.69, 658.11, 497.4, 671.89, 493.57, 687.19, 493.57, 706.33, 493.57, 718.57, 492.81, 731.58, 491.28, 743.83, 489.74, 756.84, 488.98, 769.85, 487.45, 785.92, 485.15, 801.22, 482.86, 813.47, 481.33, 825.71, 480.56, 839.49, 479.03, 852.5, 475.2, 865.51, 469.85, 879.29, 465.26, 893.06, 461.43, 904.54, 459.9, 919.85, 457.6, 930.56, 453.01, 942.81, 447.65, 956.58, 443.06, 968.83, 437.7, 980.31, 433.88, 1000.0, 423.9, 1000.0, 0.0, 410.83, 0.0]]",299792.0,"[354.29, 0.0, 645.71, 521.12]",0
5,000005.jpg,1,1,side,partial,gray,dent,"[[325.2, 25.2, 314.49, 32.09, 305.31, 39.74, 292.3, 48.16, 281.58, 54.29, 271.63, 61.94, 261.68, 71.12, 252.5, 79.54, 244.08, 89.49, 236.43, 99.44, 228.78, 109.39, 220.36, 117.81, 210.41, 126.99, 202.76, 136.94, 195.1, 149.95, 187.45, 162.96, 182.09, 173.67, 177.5, 184.39, 170.61, 195.87, 165.26, 207.35, 159.13, 219.59, 154.54, 230.31, 148.42, 243.32, 144.59, 257.09, 140.77, 270.1, 139.23, 282.35, 138.47, 294.59, 136.94, 307.6, 136.94, 321.38, 136.94, 334.39, 135.41, 345.87, 133.11, 357.35, 131.58, 369.59, 129.29, 382.6, 129.29, 394.85, 131.58, 407.09, 136.94, 417.81, 142.3, 429.29, 145.36, 441.53, 147.65, 453.78, 151.48, 466.02, 154.54, 478.27, 159.13, 490.51, 165.26, 502.76, 169.85, 515.77, 175.2, 527.24, 179.8, 538.72, 185.15, 550.2, 192.81, 560.15, 200.46, 570.1, 208.11, 580.05, 215.77, 590.77, 223.42, 600.71, 230.31, 611.43, 238.72, 620.61, 248.67, 628.27, 260.15, 632.86, 272.4, 636.68, 284.64, 639.74, 296.12, 642.04, 307.6, 645.1, 319.85, 645.87, 332.09, 646.63, 343.57, 647.4, 356.58, 648.93, 369.59, 648.93, 381.84, 649.69, 394.85, 649.69, 406.33, 648.93, 417.81, 648.16, 430.05, 648.16, 442.3, 647.4, 455.31, 647.4, 469.85, 646.63, 482.09, 644.34, 497.4, 641.28, 508.88, 639.74, 520.36, 638.21, 531.84, 635.92, 546.38, 635.15, 557.86, 633.62, 570.87, 631.33, 584.64, 629.03, 598.42, 626.73, 610.66, 624.44, 624.44, 622.14, 635.92, 620.61, 647.4, 619.08, 659.64, 616.79, 674.18, 612.96, 687.19, 608.37, 699.44, 605.31, 710.92, 601.48, 724.69, 596.12, 735.41, 591.53, 746.12, 586.94, 757.6, 580.82, 768.32, 573.16, 776.73, 564.74, 783.62, 554.8, 790.51, 543.32, 797.4, 531.07, 801.22, 518.83, 806.58, 507.35, 812.7, 492.81, 815.77, 480.56, 821.89, 466.02, 827.24, 453.01, 831.07, 440.77, 834.9, 426.22, 838.72, 414.74, 841.02, 400.2, 843.32, 387.19, 843.32, 374.18, 846.38, 362.7, 847.14, 346.63, 847.14, 332.09, 847.91, 299.95, 846.38, 288.47, 844.85, 273.93, 843.32, 260.92, 841.79, 246.38, 837.19, 233.37, 832.6, 221.89, 828.01, 208.11, 822.65, 195.1, 815.0, 179.8, 810.41, 168.32, 805.05, 156.84, 798.16, 145.36, 790.51, 132.35, 783.62, 122.4, 774.44, 110.92, 763.72, 103.27, 753.78, 94.85, 746.12, 84.9, 736.94, 76.48, 726.22, 70.36, 707.86, 58.88, 697.14, 50.46, 687.19, 43.57, 677.24, 37.45, 667.3, 31.33, 656.58, 25.2, 644.34, 19.85, 631.33, 14.49, 618.32, 10.66, 607.6, 5.31, 590.77, 0.71, 588.0, 0.0, 400.08, 0.0, 396.38, 1.48, 383.37, 3.78, 371.89, 6.84, 358.88, 11.43, 345.87, 16.79]]",383763.0,"[129.29, 0.0, 718.62, 649.69]",0
6,000006.jpg,1,1,side,partial,red,dent,"[[424.94, 67.88, 408.41, 75.59, 391.88, 78.9, 377.55, 87.71, 361.02, 99.84, 347.8, 110.86, 333.47, 121.88, 320.24, 134.0, 307.02, 147.22, 292.69, 160.45, 282.78, 176.98, 276.16, 192.41, 268.45, 210.04, 261.84, 229.88, 257.43, 246.41, 254.12, 262.94, 249.71, 280.57, 246.41, 297.1, 244.2, 314.73, 243.1, 331.27, 243.1, 348.9, 245.31, 365.43, 247.51, 384.16, 247.51, 401.8, 250.82, 418.33, 256.33, 441.47, 264.04, 458.0, 271.76, 474.53, 289.39, 497.67, 301.51, 510.9, 312.53, 526.33, 324.65, 540.65, 341.18, 547.27, 359.92, 551.67, 379.76, 556.08, 397.39, 558.29, 413.92, 562.69, 430.45, 566.0, 449.18, 570.41, 466.82, 573.71, 487.76, 573.71, 506.49, 574.82, 524.12, 577.02, 542.86, 577.02, 559.39, 578.12, 578.12, 578.12, 600.16, 578.12, 617.8, 577.02, 634.33, 575.92, 653.06, 575.92, 670.69, 574.82, 688.33, 573.71, 708.16, 573.71, 730.2, 572.61, 746.73, 567.1, 762.16, 556.08, 772.08, 540.65, 779.8, 524.12, 788.61, 507.59, 798.53, 489.96, 805.14, 472.33, 810.65, 455.8, 816.16, 439.27, 820.57, 422.73, 826.08, 406.2, 829.39, 387.47, 830.49, 369.84, 830.49, 351.1, 830.49, 332.37, 828.29, 314.73, 824.98, 298.2, 820.57, 279.47, 813.96, 262.94, 808.45, 246.41, 800.73, 230.98, 793.02, 213.35, 786.41, 196.82, 779.8, 181.39, 770.98, 165.96, 761.06, 149.43, 750.04, 136.2, 735.71, 124.08, 721.39, 114.16, 705.96, 102.04, 691.63, 88.82, 676.2, 78.9, 654.16, 66.78, 637.63, 59.06, 618.9, 53.55, 599.06, 49.14, 581.43, 45.84, 562.69, 44.73, 542.86, 43.63, 523.02, 43.63, 505.39, 43.63, 485.55, 44.73, 469.02, 50.24, 451.39, 56.86]]",258456.0,"[243.1, 43.63, 587.39, 534.49]",0
7,000007.jpg,1,1,side,partial,red,dent,"[[456.9, 40.33, 439.27, 40.33, 417.22, 44.73, 398.49, 48.04, 379.76, 51.35, 363.22, 56.86, 344.49, 64.57, 327.96, 71.18, 312.53, 78.9, 297.1, 88.82, 280.57, 98.73, 266.24, 108.65, 251.92, 120.78, 243.1, 135.1, 234.29, 150.53, 218.86, 168.16, 205.63, 179.18, 192.41, 193.51, 180.29, 212.24, 171.47, 227.67, 164.86, 244.2, 159.35, 264.04, 154.94, 281.67, 151.63, 298.2, 146.12, 314.73, 142.82, 331.27, 140.61, 347.8, 137.31, 364.33, 135.1, 381.96, 132.9, 399.59, 132.9, 419.43, 134.0, 437.06, 137.31, 456.9, 140.61, 474.53, 145.02, 491.06, 151.63, 508.69, 158.24, 526.33, 167.06, 542.86, 180.29, 558.29, 192.41, 571.51, 205.63, 582.53, 221.06, 593.55, 236.49, 600.16, 254.12, 606.78, 272.86, 608.98, 289.39, 611.18, 313.63, 612.29, 333.47, 612.29, 351.1, 612.29, 368.73, 612.29, 387.47, 612.29, 406.2, 612.29, 424.94, 612.29, 446.98, 612.29, 465.71, 612.29, 484.45, 612.29, 503.18, 612.29, 524.12, 612.29, 541.76, 612.29, 559.39, 612.29, 577.02, 612.29, 596.86, 612.29, 614.49, 612.29, 632.12, 611.18, 649.76, 611.18, 668.49, 607.88, 686.12, 605.67, 702.65, 602.37, 720.29, 599.06, 736.82, 595.76, 754.45, 592.45, 772.08, 589.14, 793.02, 585.84, 808.45, 578.12, 816.16, 561.59, 818.37, 541.76, 821.67, 524.12, 824.98, 506.49, 828.29, 486.65, 831.59, 469.02, 833.8, 451.39, 833.8, 432.65, 833.8, 412.82, 833.8, 395.18, 833.8, 377.55, 832.69, 359.92, 828.29, 343.39, 824.98, 324.65, 821.67, 307.02, 817.27, 290.49, 811.76, 272.86, 805.14, 256.33, 796.33, 237.59, 788.61, 222.16, 779.8, 205.63, 768.78, 188.0, 758.86, 168.16, 745.63, 152.73, 733.51, 137.31, 719.18, 126.29, 707.06, 113.06, 692.73, 103.14, 678.41, 92.12, 664.08, 81.1, 648.65, 72.29, 632.12, 64.57, 612.29, 57.96, 595.76, 52.45, 574.82, 46.94, 546.16, 39.22, 529.63, 35.92, 510.9, 34.82, 489.96, 34.82, 472.33, 34.82]]",338758.0,"[132.9, 34.82, 700.9, 577.47]",0
8,000008.jpg,7,2,front,partial,blue,scratch,"[[448.08, 111.96, 437.06, 125.18, 429.35, 140.61, 420.53, 154.94, 409.51, 169.27, 400.69, 183.59, 391.88, 200.12, 381.96, 214.45, 374.24, 229.88, 367.63, 245.31, 363.22, 262.94, 357.71, 280.57, 353.31, 297.1, 346.69, 312.53, 340.08, 336.78, 335.67, 353.31, 331.27, 372.04, 325.76, 390.78, 322.45, 409.51, 321.35, 431.55, 320.24, 448.08, 318.04, 464.61, 312.53, 481.14, 307.02, 498.78, 301.51, 515.31, 314.73, 526.33, 331.27, 528.53, 348.9, 529.63, 366.53, 529.63, 384.16, 529.63, 400.69, 521.92, 417.22, 516.41, 433.76, 513.1, 450.29, 507.59, 465.71, 499.88, 482.24, 495.47, 498.78, 491.06, 514.2, 483.35, 524.12, 466.82, 523.0, 450.3, 516.4, 434.9, 507.59, 422.73, 510.9, 405.1, 517.51, 389.67, 524.12, 373.14, 527.43, 354.41, 529.63, 336.78, 535.14, 319.14, 537.35, 301.51, 541.76, 283.88, 543.96, 267.35, 545.06, 249.71, 545.06, 230.98, 542.86, 212.24, 540.65, 194.61, 534.04, 176.98, 527.43, 159.35, 520.82, 142.82, 509.8, 127.39, 495.47, 117.47, 477.84, 113.06, 461.31, 110.86]]",68661.0,"[301.51, 110.86, 243.55, 418.77]",0
9,000009.jpg,4,3,side,complete,gray,crack,"[[308.33, 74.33, 317.05, 81.6, 325.04, 89.59, 332.31, 99.04, 338.85, 108.49, 345.39, 120.12, 349.02, 132.47, 351.93, 143.37, 354.84, 154.27, 357.02, 166.62, 357.74, 177.52, 355.56, 188.42, 344.66, 194.24, 333.04, 197.87, 322.14, 200.78, 319.23, 188.42, 321.41, 177.52, 319.95, 164.44, 317.05, 152.09, 316.32, 141.19, 316.32, 125.93, 317.05, 112.85, 317.05, 100.5]]",3361.0,"[308.33, 74.33, 49.41, 126.45]",0
10,000010.jpg,1,1,side,partial,brown,dent,"[[389.88, 157.24, 388.87, 165.31, 390.38, 173.39, 397.95, 174.9, 403.5, 168.84, 404.51, 161.27, 398.96, 155.72]]",234.0,"[388.87, 155.72, 15.64, 19.18]",0
